rep,documents,operation,sample,latency_ns,correct
0,8,exact,0,200647,1
0,8,near,0,198514,1
0,8,miss,0,204615,1
0,8,unicode,0,204584,1
0,8,exact,1,199766,1
0,8,near,1,200066,1
0,8,miss,1,198233,1
0,8,unicode,1,205306,1
0,8,exact,2,200598,1
0,8,near,2,199706,1
0,8,miss,2,197120,1
0,8,unicode,2,201189,1
0,8,exact,3,202371,1
0,8,near,3,199305,1
0,8,miss,3,196730,1
0,8,unicode,3,200166,1
0,8,exact,4,200247,1
0,8,near,4,204184,1
0,8,miss,4,196770,1
0,8,unicode,4,201800,1
0,8,exact,5,200296,1
0,8,near,5,199364,1
0,8,miss,5,200406,1
0,8,unicode,5,200758,1
0,8,exact,6,199585,1
0,8,near,6,198914,1
0,8,miss,6,196830,1
0,8,unicode,6,204304,1
0,8,exact,7,200687,1
0,8,near,7,199144,1
0,8,miss,7,196900,1
0,8,unicode,7,200507,1
0,8,exact,8,238237,1
0,8,near,8,199586,1
0,8,miss,8,197141,1
0,8,unicode,8,201980,1
0,8,exact,9,204194,1
0,8,near,9,199725,1
0,8,miss,9,196640,1
0,8,unicode,9,243528,1
0,8,exact,10,200147,1
0,8,near,10,204073,1
0,8,miss,10,197531,1
0,8,unicode,10,200758,1
0,8,exact,11,199535,1
0,8,near,11,199405,1
0,8,miss,11,201970,1
0,8,unicode,11,200477,1
0,8,exact,12,198564,1
0,8,near,12,199585,1
0,8,miss,12,197501,1
0,8,unicode,12,205045,1
0,8,exact,13,198994,1
0,8,near,13,200187,1
0,8,miss,13,197621,1
0,8,unicode,13,201298,1
0,8,exact,14,203913,1
0,8,near,14,200507,1
0,8,miss,14,197802,1
0,8,unicode,14,201629,1
0,8,exact,15,201468,1
0,8,near,15,203622,1
0,8,miss,15,198022,1
0,8,unicode,15,201229,1
0,8,exact,16,200858,1
0,8,near,16,220654,1
0,8,miss,16,207149,1
0,8,unicode,16,200366,1
0,8,exact,17,206788,1
0,8,near,17,214884,1
0,8,miss,17,284906,1
0,8,unicode,17,204545,1
0,8,exact,18,201719,1
0,8,near,18,200367,1
0,8,miss,18,197852,1
0,8,unicode,18,220024,1
0,8,exact,19,201138,1
0,8,near,19,200116,1
0,8,miss,19,197851,1
0,8,unicode,19,201769,1
0,8,exact,20,205306,1
0,8,near,20,200487,1
0,8,miss,20,197722,1
0,8,unicode,20,201259,1
0,8,exact,21,201038,1
0,8,near,21,220685,1
0,8,miss,21,201729,1
0,8,unicode,21,201228,1
0,8,exact,22,200446,1
0,8,near,22,200166,1
0,8,miss,22,203313,1
0,8,unicode,22,200487,1
0,8,exact,23,200197,1
0,8,near,23,198954,1
0,8,miss,23,196880,1
0,8,unicode,23,269757,1
0,8,exact,24,200346,1
0,8,near,24,199425,1
0,8,miss,24,196970,1
0,8,unicode,24,206499,1
0,8,exact,25,200347,1
0,8,near,25,198894,1
0,8,miss,25,196429,1
0,8,unicode,25,200226,1
0,8,exact,26,207520,1
0,8,near,26,200467,1
0,8,miss,26,197601,1
0,8,unicode,26,200918,1
0,8,exact,27,200116,1
0,8,near,27,205667,1
0,8,miss,27,197702,1
0,8,unicode,27,201569,1
0,8,exact,28,200897,1
0,8,near,28,200396,1
0,8,miss,28,203091,1
0,8,unicode,28,200617,1
0,8,exact,29,209444,1
0,8,near,29,199665,1
0,8,miss,29,196539,1
0,8,unicode,29,221076,1
0,8,exact,30,199515,1
0,8,near,30,198784,1
0,8,miss,30,196830,1
0,8,unicode,30,201539,1
0,8,exact,31,210275,1
0,8,near,31,199555,1
0,8,miss,31,197492,1
0,8,unicode,31,201168,1
0,8,exact,32,200096,1
0,8,near,32,207300,1
0,8,miss,32,197350,1
0,8,unicode,32,201028,1
0,8,exact,33,199695,1
0,8,near,33,198924,1
