rep,documents,operation,n,min_ns,p50_ns,p95_ns,p99_ns,max_ns,total_ns
0,8,delete,5,34905,36258,99186,99186,99186,242835
0,8,deserialize,5,70072,70352,74029,74029,74029,354916
0,8,exact,50,130916,200446,209774,238237,238237,10003462
0,8,insert,5,39114,40085,43462,43462,43462,202882
0,8,load,5,90040,101090,178987,178987,178987,567237
0,8,miss,50,130805,197501,207149,284906,284906,9837699
0,8,near,50,130465,199586,214884,220685,220685,9895592
0,8,save,5,10138729,10282690,10550975,10550975,10550975,51602807
0,8,serialize,5,3327,4449,35887,35887,35887,52650
0,8,unicode,50,133140,201228,221076,269757,269757,10095029
0,8,update,5,34645,35256,36268,36268,36268,177143
0,64,delete,5,187733,188344,191400,191400,191400,946539
0,64,deserialize,5,387028,400814,404561,404561,404561,1987077
0,64,exact,50,736053,1057979,1114986,1262614,1262614,51662614
0,64,insert,5,190678,194305,209855,209855,209855,980993
0,64,load,5,420801,438214,897607,897607,897607,2620386
0,64,miss,50,730653,1054222,1145684,1477598,1477598,51689578
0,64,near,50,729010,1053310,1123021,1220624,1220624,51415492
0,64,save,5,10368321,10530986,11377838,11377838,11377838,53342253
0,64,serialize,5,42380,47860,95800,95800,95800,282281
0,64,unicode,50,732527,1064862,1118092,1624163,1624163,52261588
0,64,update,5,189025,190047,196079,196079,196079,957139
0,256,delete,5,763025,764727,777391,777391,777391,3844497
0,256,deserialize,5,1556146,1598736,1810263,1810263,1810263,8165922
0,256,exact,50,2899821,2953141,3298761,7041377,7041377,155750577
0,256,insert,5,763766,789574,865407,865407,865407,4009517
0,256,load,5,1680309,1773824,2471827,2471827,2471827,9725543
0,256,miss,50,2890194,2946088,3322445,6497164,6497164,153415342
0,256,near,50,2902667,2944105,3252314,6527672,6527672,152408783
0,256,save,5,10558709,11591540,13283371,13283371,13283371,58396237
0,256,serialize,5,55364,58911,481145,481145,481145,719403
0,256,unicode,50,2935468,2976335,4490561,5657184,5657184,156201611
0,256,update,5,762423,764056,772913,772913,772913,3828276
1,256,delete,5,763355,765359,767934,767934,767934,3826334
1,256,deserialize,5,1557187,1575382,1696099,1696099,1696099,8004228
1,256,exact,50,2895513,2924498,3215013,3264657,3264657,147222244
1,256,insert,5,769075,772231,775748,775748,775748,3861267
1,256,load,5,1658338,1726124,2468531,2468531,2468531,9444604
1,256,miss,50,2890895,2913317,3109976,3262123,3262123,146476527
1,256,near,50,2900402,2922775,3251993,3377108,3377108,147683474
1,256,save,5,11514566,11690977,12831441,12831441,12831441,59397338
1,256,serialize,5,97874,105197,120897,120897,120897,536358
1,256,unicode,50,2935719,2970495,3054873,3306556,3306556,149164015
1,256,update,5,762394,766010,768956,768956,768956,3829159
1,64,delete,5,193734,194616,204454,204454,204454,990953
1,64,deserialize,5,388851,400162,412956,412956,412956,2002844
1,64,exact,50,721346,724892,749138,813569,813569,36475721
1,64,insert,5,197641,200747,213251,213251,213251,1019175
1,64,load,5,426091,1015519,1257905,1257905,1257905,4667775
1,64,miss,50,719422,724211,763826,818870,818870,36537190
1,64,near,50,721486,724993,749369,808089,808089,36470248
1,64,save,5,10338124,10588555,11837523,11837523,11837523,53933457
1,64,serialize,5,18405,25938,37772,37772,37772,134072
1,64,unicode,50,739511,743337,763535,820763,820763,37398262
1,64,update,5,195728,210336,212089,212089,212089,1025989
1,8,delete,5,21731,27181,64772,64772,64772,200086
1,8,deserialize,5,51127,146736,146886,146886,146886,637389
1,8,exact,50,90921,91692,93956,98795,98795,4595089
1,8,insert,5,24766,74270,74480,74480,74480,273484
1,8,load,5,181060,185820,190919,190919,190919,928907
1,8,miss,50,90901,91612,102112,111780,111780,4635060
1,8,near,50,90841,91462,94568,102343,102343,4594749
1,8,save,5,10212598,10367269,10416652,10416652,10416652,51713595
1,8,serialize,5,4769,7674,8456,8456,8456,34965
1,8,unicode,50,92443,93195,96952,113233,113233,4694286
1,8,update,5,21821,64871,64932,64932,64932,244138
2,8,delete,5,21560,64661,64752,64752,64752,280255
2,8,deserialize,5,50585,146986,147407,147407,147407,639281
2,8,exact,50,90550,91272,105448,133561,133561,4674488
2,8,insert,5,25027,74450,74520,74520,74520,322747
2,8,load,5,63520,182944,197602,197602,197602,810916
2,8,miss,50,90380,90931,94879,108784,108784,4577723
2,8,near,50,90429,90911,97894,128150,128150,4608620
2,8,save,5,10208781,10345999,10482275,10482275,10482275,51700028
2,8,serialize,5,3346,8245,11381,11381,11381,38571
2,8,unicode,50,91993,93095,100329,107973,107973,4690267
2,8,update,5,21600,64882,64952,64952,64952,281097
2,64,delete,5,193303,193965,203593,203593,203593,979521
2,64,deserialize,5,398570,399611,416103,416103,416103,2014709
2,64,exact,50,722028,731685,808670,920721,920721,37040229
2,64,insert,5,198604,212469,217459,217459,217459,1052409
2,64,load,5,502274,851691,1083507,1083507,1083507,4054992
2,64,miss,50,720725,729111,806185,880315,880315,36854649
2,64,near,50,721967,730984,808700,815793,815793,36919069
2,64,save,5,10410350,10599596,12352110,12352110,12352110,54657919
2,64,serialize,5,26259,32681,61415,61415,61415,191408
2,64,unicode,50,730493,741163,817767,941700,941700,37605244
2,64,update,5,198443,204003,210345,210345,210345,1018464
2,256,delete,5,760439,766942,785587,785587,785587,3844017
2,256,deserialize,5,1562267,1582916,1593586,1593586,1593586,7893680
2,256,exact,50,2895834,2925880,3288973,3542489,3542489,153338346
2,256,insert,5,765750,769757,787791,787791,787791,3861711
2,256,load,5,1677844,1709885,1716887,1716887,1716887,8518223
2,256,miss,50,2890354,2961166,3274776,6892647,6892647,157066120
2,256,near,50,2902325,2929417,3281027,6784904,6784904,156031896
2,256,save,5,11290625,11328586,11519685,11519685,11519685,56921954
2,256,serialize,5,61255,63820,73669,73669,73669,328758
2,256,unicode,50,2936540,2975324,3313238,6432752,6432752,158448094
2,256,update,5,760590,763285,781799,781799,781799,3832675
