query_id,class,latency_ns,matching_lines
0,HIT,71063,1
1,MISS,54613,0
2,CONFLICTING_QUOTES,54402,2
3,UNICODE,55074,1
4,HIT,54192,1
5,MISS,52268,0
6,CONFLICTING_QUOTES,53180,2
7,UNICODE,54122,1
8,HIT,52228,1
9,MISS,51977,0
10,CONFLICTING_QUOTES,53039,2
11,UNICODE,63920,1
12,HIT,52158,1
13,MISS,51907,0
14,CONFLICTING_QUOTES,52859,2
15,UNICODE,53560,1
16,HIT,52038,1
17,MISS,51867,0
18,CONFLICTING_QUOTES,52869,2
19,UNICODE,53440,1
20,HIT,51957,1
21,MISS,51947,0
22,CONFLICTING_QUOTES,52829,2
23,UNICODE,53491,1
24,HIT,52018,1
25,MISS,51898,0
26,CONFLICTING_QUOTES,52930,2
27,UNICODE,53501,1
28,HIT,51988,1
29,MISS,54693,0
30,CONFLICTING_QUOTES,55424,2
31,UNICODE,53280,1
32,HIT,51727,1
33,MISS,51957,0
34,CONFLICTING_QUOTES,52749,2
35,UNICODE,53140,1
36,HIT,51768,1
37,MISS,51657,0
38,CONFLICTING_QUOTES,52629,2
39,UNICODE,53390,1
40,HIT,51747,1
41,MISS,51667,0
42,CONFLICTING_QUOTES,52589,2
43,UNICODE,53210,1
44,HIT,51768,1
45,MISS,51587,0
46,CONFLICTING_QUOTES,52549,2
47,UNICODE,53490,1
48,HIT,82495,1
49,MISS,52088,0
50,CONFLICTING_QUOTES,53270,2
51,UNICODE,53470,1
52,HIT,51908,1
53,MISS,51828,0
54,CONFLICTING_QUOTES,52860,2
55,UNICODE,53480,1
56,HIT,51927,1
57,MISS,52869,0
58,CONFLICTING_QUOTES,53991,2
59,UNICODE,53480,1
60,HIT,51958,1
61,MISS,51858,0
62,CONFLICTING_QUOTES,52920,2
63,UNICODE,53831,1
64,HIT,52028,1
65,MISS,51868,0
66,CONFLICTING_QUOTES,66415,2
67,UNICODE,53701,1
68,HIT,52048,1
69,MISS,51858,0
70,CONFLICTING_QUOTES,52799,2
71,UNICODE,53560,1
72,HIT,52008,1
73,MISS,51837,0
74,CONFLICTING_QUOTES,52829,2
75,UNICODE,53431,1
76,HIT,51908,1
77,MISS,51898,0
78,CONFLICTING_QUOTES,52829,2
79,UNICODE,53530,1
80,HIT,52068,1
81,MISS,51807,0
82,CONFLICTING_QUOTES,52879,2
83,UNICODE,53500,1
84,HIT,51857,1
85,MISS,113534,0
86,CONFLICTING_QUOTES,28213,2
87,UNICODE,26170,1
88,HIT,27412,1
89,MISS,24987,0
90,CONFLICTING_QUOTES,24927,2
91,UNICODE,24817,1
92,HIT,23995,1
93,MISS,23855,0
94,CONFLICTING_QUOTES,24286,2
95,UNICODE,24626,1
96,HIT,23884,1
97,MISS,23785,0
98,CONFLICTING_QUOTES,24256,2
99,UNICODE,24576,1
100,HIT,23825,1
101,MISS,23765,0
102,CONFLICTING_QUOTES,24256,2
103,UNICODE,24557,1
104,HIT,23825,1
105,MISS,23734,0
106,CONFLICTING_QUOTES,24235,2
107,UNICODE,24556,1
108,HIT,23815,1
109,MISS,23785,0
110,CONFLICTING_QUOTES,24235,2
111,UNICODE,24566,1
112,HIT,23834,1
113,MISS,23745,0
114,CONFLICTING_QUOTES,24236,2
115,UNICODE,24507,1
116,HIT,24326,1
117,MISS,23744,0
118,CONFLICTING_QUOTES,24275,2
119,UNICODE,24596,1
120,HIT,23865,1
121,MISS,36970,0
122,CONFLICTING_QUOTES,24336,2
123,UNICODE,24506,1
124,HIT,23855,1
125,MISS,23935,0
126,CONFLICTING_QUOTES,24335,2
127,UNICODE,24486,1
128,HIT,23814,1
129,MISS,23735,0
130,CONFLICTING_QUOTES,24466,2
131,UNICODE,24526,1
132,HIT,23925,1
133,MISS,24627,0
134,CONFLICTING_QUOTES,24166,2
135,UNICODE,24476,1
136,HIT,23845,1
137,MISS,23915,0
138,CONFLICTING_QUOTES,24255,2
139,UNICODE,24506,1
140,HIT,23805,1
141,MISS,23795,0
142,CONFLICTING_QUOTES,24196,2
143,UNICODE,24516,1
144,HIT,23815,1
145,MISS,23724,0
146,CONFLICTING_QUOTES,24215,2
147,UNICODE,24496,1
148,HIT,23835,1
149,MISS,23735,0
150,CONFLICTING_QUOTES,24727,2
151,UNICODE,24516,1
152,HIT,24336,1
153,MISS,24225,0
154,CONFLICTING_QUOTES,24265,2
155,UNICODE,24666,1
156,HIT,23845,1
157,MISS,23804,0
158,CONFLICTING_QUOTES,24276,2
159,UNICODE,24476,1
160,HIT,23825,1
161,MISS,36859,0
162,CONFLICTING_QUOTES,29104,2
163,UNICODE,24606,1
164,HIT,23985,1
165,MISS,23955,0
166,CONFLICTING_QUOTES,24376,2
167,UNICODE,24516,1
168,HIT,24015,1
169,MISS,23935,0
170,CONFLICTING_QUOTES,24386,2
171,UNICODE,24516,1
172,HIT,23825,1
173,MISS,23955,0
174,CONFLICTING_QUOTES,24376,2
175,UNICODE,24526,1
176,HIT,23845,1
177,MISS,23755,0
178,CONFLICTING_QUOTES,24216,2
179,UNICODE,25047,1
180,HIT,23825,1
181,MISS,23775,0
182,CONFLICTING_QUOTES,24225,2
183,UNICODE,24556,1
184,HIT,23835,1
185,MISS,23755,0
186,CONFLICTING_QUOTES,24226,2
187,UNICODE,24516,1
188,HIT,23835,1
189,MISS,23774,0
190,CONFLICTING_QUOTES,24236,2
191,UNICODE,24526,1
192,HIT,23835,1
193,MISS,23725,0
194,CONFLICTING_QUOTES,24215,2
195,UNICODE,24496,1
196,HIT,23805,1
197,MISS,23734,0
198,CONFLICTING_QUOTES,24757,2
199,UNICODE,24566,1
200,HIT,23785,1
201,MISS,37701,0
202,CONFLICTING_QUOTES,27091,2
203,UNICODE,24596,1
204,HIT,23835,1
205,MISS,23795,0
206,CONFLICTING_QUOTES,24206,2
207,UNICODE,24516,1
208,HIT,23835,1
209,MISS,23725,0
210,CONFLICTING_QUOTES,24426,2
211,UNICODE,24506,1
212,HIT,23825,1
213,MISS,23745,0
214,CONFLICTING_QUOTES,24215,2
215,UNICODE,24506,1
216,HIT,23814,1
217,MISS,23765,0
218,CONFLICTING_QUOTES,24206,2
219,UNICODE,24486,1
220,HIT,23815,1
221,MISS,23745,0
222,CONFLICTING_QUOTES,24225,2
223,UNICODE,24486,1
224,HIT,23864,1
225,MISS,23755,0
226,CONFLICTING_QUOTES,24376,2
227,UNICODE,24676,1
228,HIT,23794,1
229,MISS,23775,0
230,CONFLICTING_QUOTES,24266,2
231,UNICODE,24666,1
232,HIT,23804,1
233,MISS,23915,0
234,CONFLICTING_QUOTES,24355,2
235,UNICODE,24496,1
236,HIT,23804,1
237,MISS,23755,0
238,CONFLICTING_QUOTES,24366,2
239,UNICODE,24826,1
240,HIT,23835,1
241,MISS,34174,0
242,CONFLICTING_QUOTES,30237,2
243,UNICODE,24576,1
244,HIT,24005,1
245,MISS,23744,0
246,CONFLICTING_QUOTES,24205,2
247,UNICODE,24526,1
248,HIT,23855,1
249,MISS,23745,0
250,CONFLICTING_QUOTES,24196,2
251,UNICODE,24506,1
252,HIT,23825,1
253,MISS,23774,0
254,CONFLICTING_QUOTES,24205,2
255,UNICODE,24486,1
256,HIT,24336,1
257,MISS,24276,0
258,CONFLICTING_QUOTES,24216,2
259,UNICODE,24496,1
260,HIT,23835,1
261,MISS,23784,0
262,CONFLICTING_QUOTES,24226,2
263,UNICODE,24526,1
264,HIT,23805,1
265,MISS,23735,0
266,CONFLICTING_QUOTES,24205,2
267,UNICODE,24476,1
268,HIT,23825,1
269,MISS,23744,0
270,CONFLICTING_QUOTES,24206,2
271,UNICODE,24807,1
272,HIT,24005,1
273,MISS,23745,0
274,CONFLICTING_QUOTES,24215,2
275,UNICODE,24496,1
276,HIT,23835,1
277,MISS,24245,0
278,CONFLICTING_QUOTES,24266,2
279,UNICODE,24556,1
280,HIT,23825,1
281,MISS,44484,0
282,CONFLICTING_QUOTES,25698,2
283,UNICODE,25388,1
284,HIT,25157,1
285,MISS,24636,0
286,CONFLICTING_QUOTES,24316,2
287,UNICODE,24766,1
288,HIT,24486,1
289,MISS,23824,0
290,CONFLICTING_QUOTES,24246,2
291,UNICODE,24546,1
292,HIT,23845,1
293,MISS,24266,0
294,CONFLICTING_QUOTES,24225,2
295,UNICODE,24526,1
296,HIT,24315,1
297,MISS,24246,0
298,CONFLICTING_QUOTES,24226,2
299,UNICODE,24516,1
300,HIT,23805,1
301,MISS,23745,0
302,CONFLICTING_QUOTES,24215,2
303,UNICODE,24586,1
304,HIT,24335,1
305,MISS,23745,0
306,CONFLICTING_QUOTES,24236,2
307,UNICODE,24506,1
308,HIT,23995,1
309,MISS,23895,0
310,CONFLICTING_QUOTES,24385,2
311,UNICODE,24506,1
312,HIT,24506,1
313,MISS,24436,0
314,CONFLICTING_QUOTES,24386,2
315,UNICODE,24526,1
316,HIT,23805,1
317,MISS,23935,0
318,CONFLICTING_QUOTES,24416,2
319,UNICODE,24476,1
320,HIT,23795,1
321,MISS,28533,0
322,CONFLICTING_QUOTES,24285,2
323,UNICODE,24496,1
324,HIT,23824,1
325,MISS,23735,0
326,CONFLICTING_QUOTES,24226,2
327,UNICODE,24487,1
328,HIT,23815,1
329,MISS,23744,0
330,CONFLICTING_QUOTES,24215,2
331,UNICODE,24496,1
332,HIT,23814,1
333,MISS,23725,0
334,CONFLICTING_QUOTES,24216,2
335,UNICODE,24486,1
336,HIT,23805,1
337,MISS,23735,0
338,CONFLICTING_QUOTES,24225,2
339,UNICODE,24476,1
340,HIT,23804,1
341,MISS,23755,0
342,CONFLICTING_QUOTES,24216,2
343,UNICODE,24496,1
344,HIT,23775,1
345,MISS,23735,0
346,CONFLICTING_QUOTES,24225,2
347,UNICODE,24486,1
348,HIT,23805,1
349,MISS,23724,0
350,CONFLICTING_QUOTES,24205,2
351,UNICODE,24496,1
352,HIT,23815,1
353,MISS,23735,0
354,CONFLICTING_QUOTES,24196,2
355,UNICODE,24476,1
356,HIT,23805,1
357,MISS,23724,0
358,CONFLICTING_QUOTES,24215,2
359,UNICODE,24486,1
360,HIT,23824,1
361,MISS,24386,0
362,CONFLICTING_QUOTES,29435,2
363,UNICODE,24526,1
364,HIT,23805,1
365,MISS,23745,0
366,CONFLICTING_QUOTES,24216,2
367,UNICODE,24456,1
368,HIT,23795,1
369,MISS,23724,0
