rep,n,threads,batch,wall_ns,ns_per_node,checks
0,16384,3,16,146025,0.557041168,48
0,131072,3,2,354526,1.352409363,6
0,294378,3,1,825832,2.805345508,3
0,500000,3,1,1274425,2.548850000,3
1,16384,3,16,318468,1.214859009,48
1,131072,3,2,419348,1.599685669,6
1,294378,3,1,505409,1.716870826,3
1,500000,3,1,1072426,2.144852000,3
2,16384,3,16,264327,1.008327484,48
2,131072,3,2,387789,1.479297638,6
2,294378,3,1,555063,1.885545115,3
2,500000,3,1,1219782,2.439564000,3
3,16384,3,16,258516,0.986160278,48
3,131072,3,2,390484,1.489578247,6
3,294378,3,1,496273,1.685835898,3
3,500000,3,1,956337,1.912674000,3
4,16384,3,16,144973,0.553028107,48
4,131072,3,2,353254,1.347557068,6
4,294378,3,1,603504,2.050098852,3
4,500000,3,1,1032991,2.065982000,3
5,16384,3,16,150423,0.573818207,48
5,131072,3,2,411233,1.568729401,6
5,294378,3,1,510069,1.732700813,3
5,500000,3,1,1309711,2.619422000,3
6,16384,3,16,167304,0.638214111,48
6,131072,3,2,346841,1.323093414,6
6,294378,3,1,560613,1.904398427,3
6,500000,3,1,1256211,2.512422000,3
7,16384,3,16,373261,1.423877716,48
7,131072,3,2,570712,2.177093506,6
7,294378,3,1,750470,2.549341323,3
7,500000,3,1,1150602,2.301204000,3
8,16384,3,16,283102,1.079948425,48
8,131072,3,2,530106,2.022193909,6
8,294378,3,1,534114,1.814381509,3
8,500000,3,1,1008766,2.017532000,3
9,16384,3,16,158488,0.604583740,48
9,131072,3,2,381047,1.453578949,6
9,294378,3,1,564881,1.918896793,3
9,500000,3,1,1078036,2.156072000,3
10,16384,3,16,162565,0.620136261,48
10,131072,3,2,554703,2.116024017,6
10,294378,3,1,530607,1.802468255,3
10,500000,3,1,1242195,2.484390000,3
11,16384,3,16,287941,1.098407745,48
11,131072,3,2,547870,2.089958191,6
11,294378,3,1,740412,2.515174368,3
11,500000,3,1,1247795,2.495590000,3
12,16384,3,16,189015,0.721035004,48
12,131072,3,2,339638,1.295616150,6
12,294378,3,1,603624,2.050506492,3
12,500000,3,1,1836591,3.673182000,3
13,16384,3,16,219232,0.836303711,48
13,131072,3,2,403708,1.540023804,6
13,294378,3,1,575081,1.953546121,3
13,500000,3,1,1223078,2.446156000,3
14,16384,3,16,361319,1.378322601,48
14,131072,3,2,536318,2.045890808,6
14,294378,3,1,1083977,3.682262261,3
14,500000,3,1,1371768,2.743536000,3
15,16384,3,16,260519,0.993801117,48
15,131072,3,2,696989,2.658802032,6
15,294378,3,1,677763,2.302356154,3
15,500000,3,1,1453321,2.906642000,3
16,16384,3,16,361108,1.377517700,48
16,131072,3,2,491364,1.874404907,6
16,294378,3,1,780837,2.652497809,3
16,500000,3,1,1307688,2.615376000,3
17,16384,3,16,291327,1.111324310,48
17,131072,3,2,537230,2.049369812,6
17,294378,3,1,752794,2.557235935,3
17,500000,3,1,1933845,3.867690000,3
18,16384,3,16,304622,1.162040710,48
18,131072,3,2,708872,2.704132080,6
18,294378,3,1,1154490,3.921794428,3
18,500000,3,1,1198282,2.396564000,3
19,16384,3,16,174408,0.665313721,48
19,131072,3,2,313029,1.194110870,6
19,294378,3,1,913957,3.104705515,3
19,500000,3,1,1396214,2.792428000,3
20,16384,3,16,386076,1.472763062,48
20,131072,3,2,594527,2.267940521,6
20,294378,3,1,727567,2.471539993,3
20,500000,3,1,1017602,2.035204000,3
21,16384,3,16,726566,2.771629333,48
21,131072,3,2,802989,3.063159943,6
21,294378,3,1,975924,3.315206979,3
21,500000,3,1,1250119,2.500238000,3
22,16384,3,16,290486,1.108116150,48
22,131072,3,2,468610,1.787605286,6
22,294378,3,1,564962,1.919171949,3
22,500000,3,1,1656924,3.313848000,3
23,16384,3,16,1523673,5.812351227,48
23,131072,3,2,685518,2.615043640,6
23,294378,3,1,756101,2.568469791,3
23,500000,3,1,1240311,2.480622000,3
24,16384,3,16,173296,0.661071777,48
24,131072,3,2,395914,1.510292053,6
24,294378,3,1,1479200,5.024832019,3
24,500000,3,1,1738637,3.477274000,3
25,16384,3,16,316094,1.205802917,48
25,131072,3,2,418446,1.596244812,6
25,294378,3,1,601600,2.043630978,3
25,500000,3,1,1063128,2.126256000,3
26,16384,3,16,274145,1.045780182,48
26,131072,3,2,586121,2.235874176,6
26,294378,3,1,799582,2.716174442,3
26,500000,3,1,1041637,2.083274000,3
27,16384,3,16,153668,0.586196899,48
27,131072,3,2,426923,1.628582001,6
27,294378,3,1,608855,2.068276162,3
27,500000,3,1,1619333,3.238666000,3
28,16384,3,16,414749,1.582141876,48
28,131072,3,2,706277,2.694232941,6
28,294378,3,1,756532,2.569933895,3
28,500000,3,1,1219041,2.438082000,3
29,16384,3,16,379534,1.447807312,48
29,131072,3,2,1093285,4.170551300,6
29,294378,3,1,812797,2.761065705,3
29,500000,3,1,1476194,2.952388000,3
30,16384,3,16,296637,1.131580353,48
30,131072,3,2,453252,1.729019165,6
30,294378,3,1,623722,2.118779257,3
30,500000,3,1,1671111,3.342222000,3
31,16384,3,16,445437,1.699207306,48
31,131072,3,2,502124,1.915451050,6
31,294378,3,1,807838,2.744220016,3
31,500000,3,1,1139862,2.279724000,3
32,16384,3,16,259148,0.988571167,48
32,131072,3,2,483929,1.846042633,6
32,294378,3,1,1091662,3.708368153,3
32,500000,3,1,1475392,2.950784000,3
33,16384,3,16,333497,1.272190094,48
33,131072,3,2,716276,2.732376099,6
33,294378,3,1,577745,1.962595710,3
33,500000,3,1,991935,1.983870000,3
34,16384,3,16,171662,0.654838562,48
34,131072,3,2,671912,2.563140869,6
34,294378,3,1,659189,2.239260407,3
34,500000,3,1,1362080,2.724160000,3
35,16384,3,16,421232,1.606872559,48
35,131072,3,2,357592,1.364105225,6
35,294378,3,1,620746,2.108669805,3
35,500000,3,1,974171,1.948342000,3
36,16384,3,16,328317,1.252429962,48
36,131072,3,2,558890,2.131996155,6
36,294378,3,1,1024987,3.481873645,3
36,500000,3,1,1568929,3.137858000,3
37,16384,3,16,360207,1.374080658,48
37,131072,3,2,391486,1.493400574,6
37,294378,3,1,525097,1.783750824,3
37,500000,3,1,2131887,4.263774000,3
38,16384,3,16,341021,1.300891876,48
38,131072,3,2,526479,2.008358002,6
38,294378,3,1,962318,3.268987492,3
38,500000,3,1,1161252,2.322504000,3
39,16384,3,16,170421,0.650104523,48
39,131072,3,2,390094,1.488090515,6
39,294378,3,1,619765,2.105337355,3
39,500000,3,1,1590039,3.180078000,3
40,16384,3,16,365617,1.394718170,48
40,131072,3,2,515670,1.967124939,6
40,294378,3,1,709413,2.409870982,3
40,500000,3,1,954754,1.909508000,3
41,16384,3,16,164630,0.628013611,48
41,131072,3,2,329850,1.258277893,6
41,294378,3,1,923185,3.136052966,3
41,500000,3,1,1339767,2.679534000,3
42,16384,3,16,309712,1.181457520,48
42,131072,3,2,545084,2.079330444,6
42,294378,3,1,724632,2.461569818,3
42,500000,3,1,992535,1.985070000,3
43,16384,3,16,416122,1.587379456,48
43,131072,3,2,815002,3.108985901,6
43,294378,3,1,899430,3.055357398,3
43,500000,3,1,1253736,2.507472000,3
44,16384,3,16,282040,1.075897217,48
44,131072,3,2,580962,2.216194153,6
44,294378,3,1,576594,1.958685771,3
44,500000,3,1,1600127,3.200254000,3
45,16384,3,16,297449,1.134677887,48
45,131072,3,2,816234,3.113685608,6
45,294378,3,1,727167,2.470181196,3
45,500000,3,1,1022671,2.045342000,3
46,16384,3,16,174418,0.665351868,48
46,131072,3,2,383381,1.462482452,6
46,294378,3,1,839117,2.850474560,3
46,500000,3,1,1341441,2.682882000,3
47,16384,3,16,495522,1.890266418,48
47,131072,3,2,534755,2.039928436,6
47,294378,3,1,694956,2.360760655,3
47,500000,3,1,1019366,2.038732000,3
48,16384,3,16,158608,0.605041504,48
48,131072,3,2,737576,2.813629150,6
48,294378,3,1,1112661,3.779701608,3
48,500000,3,1,1258405,2.516810000,3
49,16384,3,16,279105,1.064701080,48
49,131072,3,2,525979,2.006450653,6
49,294378,3,1,718239,2.439852842,3
49,500000,3,1,1033002,2.066004000,3
50,16384,3,16,383561,1.463169098,48
50,131072,3,2,818759,3.123317719,6
50,294378,3,1,913116,3.101848644,3
50,500000,3,1,1205476,2.410952000,3
51,16384,3,16,177504,0.677124023,48
51,131072,3,2,329118,1.255485535,6
51,294378,3,1,506592,1.720889469,3
51,500000,3,1,1387037,2.774074000,3
52,16384,3,16,408357,1.557758331,48
52,131072,3,2,687281,2.621768951,6
52,294378,3,1,708241,2.405889706,3
52,500000,3,1,1222527,2.445054000,3
53,16384,3,16,181972,0.694168091,48
53,131072,3,2,415130,1.583595276,6
53,294378,3,1,677563,2.301676756,3
53,500000,3,1,1339297,2.678594000,3
54,16384,3,16,438414,1.672416687,48
54,131072,3,2,430680,1.642913818,6
54,294378,3,1,811525,2.756744730,3
54,500000,3,1,1078316,2.156632000,3
55,16384,3,16,166884,0.636611938,48
55,131072,3,2,436089,1.663547516,6
55,294378,3,1,909539,3.089697600,3
55,500000,3,1,1621057,3.242114000,3
56,16384,3,16,273995,1.045207977,48
56,131072,3,2,507113,1.934482574,6
56,294378,3,1,602793,2.047683590,3
56,500000,3,1,931381,1.862762000,3
57,16384,3,16,167685,0.639667511,48
57,131072,3,2,657936,2.509826660,6
57,294378,3,1,829729,2.818583590,3
57,500000,3,1,1625806,3.251612000,3
58,16384,3,16,269466,1.027931213,48
58,131072,3,2,371077,1.415546417,6
58,294378,3,1,508225,1.726436758,3
58,500000,3,1,972437,1.944874000,3
59,16384,3,16,386316,1.473678589,48
59,131072,3,2,780206,2.976249695,6
59,294378,3,1,965043,3.278244298,3
59,500000,3,1,1222307,2.444614000,3
60,16384,3,16,181562,0.692604065,48
