REFERENCE=GPMX_v1 formats=F32,F16,affine_minmax32_Q1..Q16 header_bytes=16
SCOPE=public reference precisions on synthetic samples; not semantic accuracy or the private GEL codec; private Q2.5 NOT_IMPLEMENTED
TIMING=NOT_MEASURED (historical timed campaign: quantization_matrix)
dataset,format,values,payload_bytes,metadata_bytes,body_bytes,container_bytes,rmse,max_abs_error,bit_exact,file_roundtrip
silence,F32,32768,131072,0,131072,131088,0.000000000e0,0.000000000e0,32768,PASS
silence,F16,32768,65536,0,65536,65552,0.000000000e0,0.000000000e0,32768,PASS
silence,Q1,32768,4096,8192,12288,12304,0.000000000e0,0.000000000e0,32768,PASS
silence,Q2,32768,8192,8192,16384,16400,0.000000000e0,0.000000000e0,32768,PASS
silence,Q3,32768,12288,8192,20480,20496,0.000000000e0,0.000000000e0,32768,PASS
silence,Q4,32768,16384,8192,24576,24592,0.000000000e0,0.000000000e0,32768,PASS
silence,Q5,32768,20480,8192,28672,28688,0.000000000e0,0.000000000e0,32768,PASS
silence,Q6,32768,24576,8192,32768,32784,0.000000000e0,0.000000000e0,32768,PASS
silence,Q7,32768,28672,8192,36864,36880,0.000000000e0,0.000000000e0,32768,PASS
silence,Q8,32768,32768,8192,40960,40976,0.000000000e0,0.000000000e0,32768,PASS
silence,Q9,32768,36864,8192,45056,45072,0.000000000e0,0.000000000e0,32768,PASS
silence,Q10,32768,40960,8192,49152,49168,0.000000000e0,0.000000000e0,32768,PASS
silence,Q11,32768,45056,8192,53248,53264,0.000000000e0,0.000000000e0,32768,PASS
silence,Q12,32768,49152,8192,57344,57360,0.000000000e0,0.000000000e0,32768,PASS
silence,Q13,32768,53248,8192,61440,61456,0.000000000e0,0.000000000e0,32768,PASS
silence,Q14,32768,57344,8192,65536,65552,0.000000000e0,0.000000000e0,32768,PASS
silence,Q15,32768,61440,8192,69632,69648,0.000000000e0,0.000000000e0,32768,PASS
silence,Q16,32768,65536,8192,73728,73744,0.000000000e0,0.000000000e0,32768,PASS
constant,F32,32768,131072,0,131072,131088,0.000000000e0,0.000000000e0,32768,PASS
constant,F16,32768,65536,0,65536,65552,0.000000000e0,0.000000000e0,32768,PASS
constant,Q1,32768,4096,8192,12288,12304,0.000000000e0,0.000000000e0,32768,PASS
constant,Q2,32768,8192,8192,16384,16400,0.000000000e0,0.000000000e0,32768,PASS
constant,Q3,32768,12288,8192,20480,20496,0.000000000e0,0.000000000e0,32768,PASS
constant,Q4,32768,16384,8192,24576,24592,0.000000000e0,0.000000000e0,32768,PASS
constant,Q5,32768,20480,8192,28672,28688,0.000000000e0,0.000000000e0,32768,PASS
constant,Q6,32768,24576,8192,32768,32784,0.000000000e0,0.000000000e0,32768,PASS
constant,Q7,32768,28672,8192,36864,36880,0.000000000e0,0.000000000e0,32768,PASS
constant,Q8,32768,32768,8192,40960,40976,0.000000000e0,0.000000000e0,32768,PASS
constant,Q9,32768,36864,8192,45056,45072,0.000000000e0,0.000000000e0,32768,PASS
constant,Q10,32768,40960,8192,49152,49168,0.000000000e0,0.000000000e0,32768,PASS
constant,Q11,32768,45056,8192,53248,53264,0.000000000e0,0.000000000e0,32768,PASS
constant,Q12,32768,49152,8192,57344,57360,0.000000000e0,0.000000000e0,32768,PASS
constant,Q13,32768,53248,8192,61440,61456,0.000000000e0,0.000000000e0,32768,PASS
constant,Q14,32768,57344,8192,65536,65552,0.000000000e0,0.000000000e0,32768,PASS
constant,Q15,32768,61440,8192,69632,69648,0.000000000e0,0.000000000e0,32768,PASS
constant,Q16,32768,65536,8192,73728,73744,0.000000000e0,0.000000000e0,32768,PASS
image_gradient,F32,32768,131072,0,131072,131088,0.000000000e0,0.000000000e0,32768,PASS
image_gradient,F16,32768,65536,0,65536,65552,1.063366631e-4,2.431869507e-4,256,PASS
image_gradient,Q1,32768,4096,8192,12288,12304,3.452316843e-2,5.882352963e-2,2048,PASS
image_gradient,Q2,32768,8192,8192,16384,16400,1.150772280e-2,1.960784383e-2,2048,PASS
image_gradient,Q3,32768,12288,8192,20480,20496,4.931881202e-3,8.403360844e-3,2048,PASS
image_gradient,Q4,32768,16384,8192,24576,24592,2.301545295e-3,3.921568859e-3,2048,PASS
image_gradient,Q5,32768,20480,8192,28672,28688,0.000000000e0,0.000000000e0,32768,PASS
image_gradient,Q6,32768,24576,8192,32768,32784,5.479870294e-4,9.337067604e-4,2048,PASS
image_gradient,Q7,32768,28672,8192,36864,36880,2.718374100e-4,4.631876945e-4,2048,PASS
image_gradient,Q8,32768,32768,8192,40960,40976,1.353803701e-4,2.306848764e-4,2048,PASS
image_gradient,Q9,32768,36864,8192,45056,45072,6.756303827e-5,1.151263714e-4,2048,PASS
image_gradient,Q10,32768,40960,8192,49152,49168,0.000000000e0,0.000000000e0,32768,PASS
image_gradient,Q11,32768,45056,8192,53248,53264,1.686590272e-5,2.873688936e-5,2048,PASS
image_gradient,Q12,32768,49152,8192,57344,57360,8.432623027e-6,1.436471939e-5,2048,PASS
image_gradient,Q13,32768,53248,8192,61440,61456,4.207101005e-6,7.182359695e-6,2048,PASS
image_gradient,Q14,32768,57344,8192,65536,65552,2.101129984e-6,3.591179848e-6,2048,PASS
image_gradient,Q15,32768,61440,8192,69632,69648,0.000000000e0,0.000000000e0,32768,PASS
image_gradient,Q16,32768,65536,8192,73728,73744,5.248970065e-7,8.977949619e-7,2048,PASS
audio_tones,F32,32768,131072,0,131072,131088,0.000000000e0,0.000000000e0,32768,PASS
