cell | Four/Shared median (min–max) | Single/Shared median (min–max) | Shared ms/query median (min–max)
Canonical external-active | 3.511 (3.442–3.516) | 1.044 (0.997–1.063) | 1.402 (1.389–1.455)
Canonical external-archive | 3.925 (3.921–4.122) | 1.127 (1.114–1.157) | 0.424 (0.424–0.435)
Canonical synthetic32-active | 1.986 (1.981–2.142) | 0.662 (0.616–0.738) | 0.070 (0.058–0.072)
Canonical synthetic32-archive | 2.121 (2.084–2.175) | 0.679 (0.632–0.751) | 0.032 (0.030–0.065)
Canonical synthetic512-active | 3.657 (3.643–3.690) | 1.226 (1.114–1.260) | 0.333 (0.328–0.358)
Canonical synthetic512-archive | 3.793 (3.584–4.215) | 1.124 (1.093–1.159) | 0.302 (0.294–0.309)
Canonical synthetic8192-active | 4.408 (4.360–4.510) | 1.213 (1.186–1.222) | 5.186 (5.101–5.253)
Canonical synthetic8192-archive | 4.731 (4.589–4.827) | 1.256 (1.208–1.279) | 4.446 (4.442–4.533)
V2 512-0-active-1 | 3.255 (3.083–3.323) | 0.822 (0.768–0.824) | 0.370 (0.356–0.372)
V2 512-0-active-24 | 1.344 (1.106–1.487) | 0.790 (0.619–0.987) | 0.457 (0.433–0.475)
V2 512-0-archive-1 | 3.657 (3.495–3.973) | 0.958 (0.913–1.108) | 0.341 (0.329–0.446)
V2 512-0-archive-24 | 1.396 (1.364–1.491) | 0.871 (0.719–0.932) | 0.413 (0.409–0.430)
V2 512-1-active-1 | 3.711 (3.633–3.723) | 0.916 (0.914–0.945) | 0.387 (0.377–0.841)
V2 512-1-active-24 | 1.483 (1.374–1.486) | 0.781 (0.686–0.799) | 0.397 (0.391–0.418)
V2 512-1-archive-1 | 3.659 (3.385–3.730) | 0.925 (0.862–1.068) | 0.358 (0.169–0.369)
V2 512-1-archive-24 | 1.334 (1.320–1.442) | 0.969 (0.969–1.002) | 0.351 (0.328–0.380)
V2 8192-0-active-1 | 3.944 (3.909–3.967) | 1.216 (1.189–1.231) | 5.434 (5.348–5.499)
V2 8192-0-active-24 | 2.739 (2.546–2.892) | 0.924 (0.847–0.944) | 1.338 (1.158–1.796)
V2 8192-0-archive-1 | 4.291 (4.213–4.370) | 1.303 (1.298–1.307) | 4.581 (4.530–4.606)
V2 8192-0-archive-24 | 3.177 (2.825–3.203) | 0.998 (0.868–1.015) | 1.092 (1.016–1.095)
V2 8192-1-active-1 | 4.042 (3.987–4.058) | 1.171 (1.170–1.173) | 5.924 (5.924–5.948)
V2 8192-1-active-24 | 3.083 (3.055–3.221) | 0.993 (0.910–1.031) | 1.055 (0.980–1.221)
V2 8192-1-archive-1 | 5.399 (5.375–5.551) | 1.671 (1.652–1.690) | 2.304 (2.302–2.314)
V2 8192-1-archive-24 | 2.599 (2.359–3.183) | 0.911 (0.895–0.923) | 0.801 (0.736–0.926)
V2_view_comparisons=8355840 EVIDENCE_view_comparisons=2509056
