cell | Four/Shared median (min–max) | Single/Shared median (min–max) | Shared ms/query median (min–max)
Canonical external-active | 3.627 (3.338–4.478) | 1.145 (0.993–1.420) | 1.385 (1.345–1.387)
Canonical external-archive | 3.953 (3.838–4.178) | 1.174 (1.130–1.630) | 0.413 (0.408–0.534)
Canonical synthetic32-active | 2.386 (2.140–2.498) | 0.676 (0.641–0.681) | 0.070 (0.032–0.071)
Canonical synthetic32-archive | 2.150 (2.145–2.223) | 0.682 (0.681–0.684) | 0.065 (0.065–0.065)
Canonical synthetic512-active | 3.824 (3.590–3.910) | 1.099 (1.081–1.108) | 0.332 (0.331–0.361)
Canonical synthetic512-archive | 3.791 (3.697–3.865) | 1.184 (1.163–1.192) | 0.305 (0.293–0.639)
Canonical synthetic8192-active | 4.422 (4.403–4.670) | 1.199 (1.199–1.289) | 5.175 (5.145–5.228)
Canonical synthetic8192-archive | 4.555 (4.512–4.631) | 1.221 (1.199–1.260) | 4.512 (4.407–4.583)
V2 512-0-active-1 | 3.314 (3.301–3.496) | 0.853 (0.808–0.876) | 0.362 (0.351–0.371)
V2 512-0-active-24 | 1.397 (1.054–1.492) | 0.807 (0.801–0.980) | 0.456 (0.440–0.571)
V2 512-0-archive-1 | 3.726 (3.717–3.820) | 0.953 (0.950–0.974) | 0.649 (0.450–0.675)
V2 512-0-archive-24 | 1.431 (1.393–1.436) | 0.910 (0.805–1.052) | 0.431 (0.421–0.470)
V2 512-1-active-1 | 3.682 (3.326–3.730) | 0.922 (0.916–0.930) | 0.381 (0.380–0.406)
V2 512-1-active-24 | 1.242 (1.115–1.421) | 0.896 (0.859–0.959) | 0.458 (0.433–0.523)
V2 512-1-archive-1 | 3.664 (3.101–3.671) | 0.914 (0.815–0.946) | 0.168 (0.167–0.215)
V2 512-1-archive-24 | 1.261 (1.165–1.374) | 0.892 (0.771–0.906) | 0.338 (0.328–0.355)
V2 8192-0-active-1 | 3.750 (3.685–3.863) | 1.148 (1.127–1.193) | 5.625 (5.513–5.689)
V2 8192-0-active-24 | 2.785 (2.688–2.802) | 0.895 (0.851–0.911) | 1.249 (1.246–1.452)
V2 8192-0-archive-1 | 4.437 (4.359–4.442) | 1.333 (1.322–1.396) | 4.520 (4.497–4.522)
V2 8192-0-archive-24 | 3.187 (2.966–3.347) | 0.951 (0.871–1.035) | 0.958 (0.952–1.062)
V2 8192-1-active-1 | 4.080 (4.050–4.139) | 1.182 (1.181–1.232) | 5.920 (5.895–5.968)
V2 8192-1-active-24 | 2.611 (2.338–2.723) | 0.826 (0.801–0.875) | 1.173 (1.122–1.354)
V2 8192-1-archive-1 | 5.352 (5.346–5.412) | 1.675 (1.647–1.684) | 2.349 (2.317–2.355)
V2 8192-1-archive-24 | 3.184 (2.652–3.546) | 1.209 (0.962–1.246) | 0.819 (0.646–0.858)
V2_view_comparisons=8355840 EVIDENCE_view_comparisons=2509056
